	ET1	ET2	ET3
2013-01-01T00:00:00	5.217213898	5.217213898	5.217213898
2013-01-02T00:00:00	4.912954582	4.912954582	4.912954582
2013-01-03T00:00:00	5.343594006	5.343594006	5.343594006
2013-01-04T00:00:00	5.732219072	5.732219072	5.732219072
2013-01-05T00:00:00	5.977878322	5.977878322	5.977878322
2013-01-06T00:00:00	5.203016092	5.203016092	5.203016092
2013-01-07T00:00:00	4.774818772	4.774818772	4.774818772
2013-01-08T00:00:00	3.918506333	3.918506333	3.918506333
2013-01-09T00:00:00	4.713684741	4.713684741	4.713684741
2013-01-10T00:00:00	5.101329952	5.101329952	5.101329952
2013-01-11T00:00:00	5.445517427	5.445517427	5.445517427
2013-01-12T00:00:00	5.680362475	5.680362475	5.680362475
2013-01-13T00:00:00	5.743480712	5.743480712	5.743480712
2013-01-14T00:00:00	5.89400514	5.89400514	5.89400514
2013-01-15T00:00:00	5.610942217	5.610942217	5.610942217
2013-01-16T00:00:00	6.453839097	6.453839097	6.453839097
2013-01-17T00:00:00	5.344032596	5.344032596	5.344032596
2013-01-18T00:00:00	5.901715824	5.901715824	5.901715824
2013-01-19T00:00:00	5.047659506	5.047659506	5.047659506
2013-01-20T00:00:00	5.462154868	5.462154868	5.462154868
2013-01-21T00:00:00	5.352950568	5.352950568	5.352950568
2013-01-22T00:00:00	4.329082061	4.329082061	4.329082061
2013-01-23T00:00:00	4.627265142	4.627265142	4.627265142
2013-01-24T00:00:00	5.512493927	5.512493927	5.512493927
2013-01-25T00:00:00	5.373638833	5.373638833	5.373638833
2013-01-26T00:00:00	4.848397447	4.848397447	4.848397447
2013-01-27T00:00:00	7.30593971	7.30593971	7.30593971
2013-01-28T00:00:00	6.022140103	6.022140103	6.022140103
2013-01-29T00:00:00	5.846983343	5.846983343	5.846983343
2013-01-30T00:00:00	6.919413754	6.919413754	6.919413754
2013-01-31T00:00:00	6.905055146	6.905055146	6.905055146
2013-02-01T00:00:00	6.216046163	6.216046163	6.216046163
2013-02-02T00:00:00	5.507088525	5.507088525	5.507088525
2013-02-03T00:00:00	5.656136292	5.656136292	5.656136292
2013-02-04T00:00:00	6.238060903	6.238060903	6.238060903
2013-02-05T00:00:00	6.14507314	6.14507314	6.14507314
2013-02-06T00:00:00	5.805168367	5.805168367	5.805168367
