Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
01/01/1980_00:03:00          0.05000000          0.00000000
01/01/1980_00:06:05          0.10150000          0.00000000
01/01/1980_00:09:16          0.15454500          0.00000000
01/01/1980_00:12:33          0.20918135          0.00000000
01/01/1980_00:15:55          0.26545679          0.00000000
01/01/1980_00:19:24          0.32342049          0.00000000
01/01/1980_00:22:59          0.38312311          0.00000000
01/01/1980_00:26:40          0.44461680          0.00000000
01/01/1980_00:30:28          0.50795531          0.00000000
01/01/1980_00:34:23          0.57319397          0.00000000
01/01/1980_00:38:25          0.64038978          0.00000000
01/01/1980_00:42:34          0.70960148          0.00000000
01/01/1980_00:46:51          0.78088952          0.00000000
01/01/1980_00:51:15          0.85431621          0.00000000
01/01/1980_00:55:47          0.92994569          0.00000000
01/01/1980_01:00:28          1.00784407          0.00000000
01/01/1980_01:05:17          1.08807939          0.00000000
01/01/1980_01:10:14          1.17072177          0.00000000
01/01/1980_01:15:21          1.25584342          0.00000000
01/01/1980_01:20:36          1.34351872          0.00000000
01/01/1980_01:26:01          1.43382429          0.00000000
01/01/1980_01:31:36          1.52683901          0.00000000
01/01/1980_01:37:21          1.62264419          0.00000000
01/01/1980_01:43:16          1.72132351          0.00000000
01/01/1980_01:49:22          1.82296322          0.00000000
01/01/1980_01:55:39          1.92765211          0.00000000
01/01/1980_02:02:07          2.03548168          0.00000000
01/01/1980_02:08:47          2.14654613          0.00000000
01/01/1980_02:15:39          2.26094251          0.00000000
01/01/1980_02:22:43          2.37877079          0.00000000
01/01/1980_02:30:00          2.50013391          0.00000000
01/01/1980_02:37:30          2.62513793          0.00000000
01/01/1980_02:45:14          2.75389206          0.00000000
01/01/1980_02:53:11          2.88650883          0.00000000
01/01/1980_03:01:23          3.02310409          0.00000000
01/01/1980_03:09:49          3.16379721          0.00000000
01/01/1980_03:18:31          3.30871113          0.00000000
01/01/1980_03:27:28          3.45797246          0.00000000
01/01/1980_03:36:42          3.61171164          0.00000000
01/01/1980_03:46:12          3.77006299          0.00000000
01/01/1980_03:55:59          3.93316488          0.00000000
01/01/1980_04:06:04          4.10115982          0.00000000
01/01/1980_04:16:27          4.27419462          0.00000000
01/01/1980_04:27:08          4.45242046          0.00000000
01/01/1980_04:38:09          4.63599307          0.00000000
01/01/1980_04:49:30          4.82507286          0.00000000
01/01/1980_05:01:11          5.01982505          0.00000000
01/01/1980_05:13:13          5.22041980          0.00000000
01/01/1980_05:25:37          5.42703239          0.03590449
01/01/1980_05:38:23          5.63984336          0.07197184
01/01/1980_05:51:32          5.85903867          0.10859134
01/01/1980_06:05:05          6.08480983          0.14405236
01/01/1980_06:19:02          6.31735412          0.17708625
01/01/1980_06:33:24          6.55687474          0.20698449
01/01/1980_06:48:12          6.80358099          0.23347749
01/01/1980_07:03:27          7.05768842          0.25660882
01/01/1980_07:19:09          7.31941907          0.27662875
01/01/1980_07:35:20          7.58900164          0.29391585
01/01/1980_07:52:00          7.86667169          0.30892159
01/01/1980_08:09:09          8.15267184          0.32214226
01/01/1980_08:26:50          8.44725200          0.33411082
01/01/1980_08:45:02          8.75066956          0.34542193
01/01/1980_09:03:47          9.06318964          0.35679347
01/01/1980_09:23:06          9.38508533          0.36920059
01/01/1980_09:42:59          9.71663789          0.38412978
01/01/1980_10:03:29         10.05813703          0.40406404
01/01/1980_10:24:35         10.40988114          0.43331333
01/01/1980_10:46:19         10.77217757          0.47934298
01/01/1980_11:08:43         11.14534290          0.55456077
01/01/1980_11:31:46         11.52970319          0.67785216
01/01/1980_11:55:32         11.92559428          0.87378802
01/01/1980_12:20:00         12.33336211          1.16628035
01/01/1980_12:45:12         12.75336297          1.56630381
01/01/1980_13:11:09         13.18596386          2.06083902
01/01/1980_13:37:53         13.63154278          2.61376639
01/01/1980_14:05:25         14.09048906          3.17961280
01/01/1980_14:33:47         14.56320373          3.71888890
01/01/1980_15:03:00         15.05009985          4.20616433
