          Spatially Averaged Totals (mm) over the simulation
     Time(Hours),       Cum Prec., Cum. Can. Evap., Cum. Soil Evap.,      Cum. Trans,  Cum. Aqu. Flow,  Cum. Discharge,  Canopy Storage,    Snow Storage,Subsurface Stor., Land Surf Stor.,   Channel Stor.
           0.050,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000,           0.000,           0.000,        1955.345,           0.002,           0.004
          24.378,           0.093,           0.001,           0.099,           0.180,           0.000,           0.859,           0.091,           0.000,        1952.477,           0.527,           1.242
          48.267,           6.090,           0.254,           0.114,           0.198,           0.000,           3.069,           1.885,           0.000,        1951.718,           2.806,           1.439
          72.036,          22.777,           0.602,           0.119,           0.198,           0.000,           7.594,           2.014,           0.000,        1953.542,          10.767,           3.337
          96.701,          27.080,           0.996,           0.124,           0.198,           0.000,          16.031,           1.687,           0.000,        1952.424,           8.263,           2.760
         120.701,          28.929,           1.403,           0.130,           0.198,           0.000,          21.866,           1.551,           0.000,        1950.788,           6.217,           2.192
         144.701,          29.154,           1.803,           0.162,           0.205,           0.000,          26.082,           1.293,           0.000,        1948.707,           4.572,           1.761
         168.701,          29.236,           2.103,           0.229,           0.226,           0.000,          29.319,           1.071,           0.000,        1946.439,           3.743,           1.551
         192.701,          29.304,           2.332,           0.317,           0.261,           0.000,          32.125,           0.907,           0.000,        1944.080,           3.287,           1.453
         216.701,          29.309,           2.512,           0.416,           0.314,           0.000,          34.719,           0.731,           0.000,        1941.686,           3.001,           1.397
         240.701,          29.315,           2.660,           0.534,           0.386,           0.000,          37.183,           0.590,           0.000,        1939.279,           2.800,           1.359
         264.701,          29.536,           2.803,           0.647,           0.461,           0.000,          39.555,           0.665,           0.000,        1936.895,           2.658,           1.332
         288.701,          29.549,           2.943,           0.768,           0.544,           0.000,          41.854,           0.539,           0.000,        1934.540,           2.539,           1.308
         312.701,          30.082,           3.096,           0.868,           0.615,           0.000,          44.094,           0.826,           0.000,        1932.285,           2.487,           1.297
         336.701,          32.657,           3.421,           0.886,           0.625,           0.000,          46.339,           1.598,           0.000,        1930.939,           2.990,           1.342
         360.701,          33.345,           3.792,           0.896,           0.628,           0.000,          48.706,           1.452,           0.000,        1929.087,           2.920,           1.344
         384.701,          33.429,           4.118,           0.929,           0.643,           0.000,          51.009,           1.207,           0.000,        1926.985,           2.711,           1.302
         408.701,          33.436,           4.384,           0.995,           0.682,           0.000,          53.200,           0.947,           0.000,        1924.880,           2.548,           1.267
         432.701,          33.459,           4.573,           1.078,           0.737,           0.000,          55.304,           0.782,           0.000,        1922.788,           2.421,           1.241
         456.701,          34.227,           4.794,           1.145,           0.783,           0.000,          57.344,           1.311,           0.000,        1920.743,           2.342,           1.224
         480.337,          41.486,           5.186,           1.151,           0.783,           0.000,          59.566,           1.936,           0.000,        1922.065,           4.679,           1.577
         504.131,          58.115,           5.586,           1.157,           0.783,           0.000,          64.091,           2.043,           0.000,        1926.979,           9.921,           3.019
         528.246,          81.923,           5.995,           1.163,           0.783,           0.000,          74.562,           2.006,           0.000,        1933.190,          15.336,           4.369
         552.435,          88.629,           6.426,           1.169,           0.783,           0.000,          86.077,           1.795,           0.000,        1933.367,          11.345,           3.149
         576.435,          90.768,           6.863,           1.176,           0.783,           0.000,          93.053,           1.562,           0.000,        1932.232,           8.267,           2.309
         600.435,          90.790,           7.247,           1.224,           0.792,           0.000,          97.546,           1.163,           0.000,        1930.532,           5.976,           1.782
         624.435,          90.899,           7.515,           1.325,           0.819,           0.000,         100.756,           1.002,           0.000,        1928.661,           4.758,           1.530
         648.435,          96.873,           7.895,           1.333,           0.820,           0.000,         103.700,           1.807,           0.000,        1928.547,           6.432,           1.804
